[2024-08-29T19:07:58.041336+00:00] logger.CRITICAL: test [] []
[2024-08-29T19:08:45.837076+00:00] logger.CRITICAL: test [] []
%date% %level$ test%date% 500 test%date_time% CRITICAL test
%date_time% CRITICAL test
2024-09-12T16:30:00.693506+00:00 INFO Script has been started []
2024-09-12T16:30:38.649257+00:00 INFO Script has finished working []
2024-09-12T16:35:00.696343+00:00 INFO Script has been started []
2024-09-12T16:35:27.686338+00:00 INFO Script has finished working []
2024-09-12T16:40:00.698367+00:00 INFO Script has been started []
2024-09-12T16:40:16.968438+00:00 INFO Script has finished working []
2024-09-12T16:45:00.701598+00:00 INFO Script has been started []
2024-09-12T16:45:29.559316+00:00 INFO Script has finished working []
2024-09-12T16:50:00.704109+00:00 INFO Script has been started []
2024-09-12T16:50:27.444447+00:00 INFO Script has finished working []
2024-09-12T16:55:00.706058+00:00 INFO Script has been started []
2024-09-12T16:55:19.959632+00:00 INFO Script has finished working []
2024-09-12T17:00:00.707391+00:00 INFO Script has been started []
2024-09-12T17:00:29.163501+00:00 INFO Script has finished working []
2024-09-12T17:05:00.708878+00:00 INFO Script has been started []
2024-09-12T17:05:12.392614+00:00 INFO Script has finished working []
2024-09-12T17:10:00.710661+00:00 INFO Script has been started []
2024-09-12T17:10:19.687960+00:00 INFO Script has finished working []
2024-09-12T17:15:00.712089+00:00 INFO Script has been started []
2024-09-12T17:15:11.883288+00:00 INFO Script has finished working []
2024-09-12T17:20:00.713802+00:00 INFO Script has been started []
2024-09-12T17:20:39.263600+00:00 INFO Script has finished working []
2024-09-12T17:25:00.715677+00:00 INFO Script has been started []
2024-09-12T17:25:48.837174+00:00 INFO Script has finished working []
2024-09-12T17:30:00.718314+00:00 INFO Script has been started []
2024-09-12T17:30:31.416724+00:00 INFO Script has finished working []
2024-09-12T17:35:00.720107+00:00 INFO Script has been started []
2024-09-12T17:35:49.329983+00:00 INFO Script has finished working []
2024-09-12T17:40:00.722335+00:00 INFO Script has been started []
2024-09-12T17:40:33.634434+00:00 INFO Script has finished working []
2024-09-12T17:45:00.724600+00:00 INFO Script has been started []
2024-09-12T17:45:33.521659+00:00 INFO Script has finished working []
2024-09-12T17:50:00.726607+00:00 INFO Script has been started []
2024-09-12T17:50:27.030806+00:00 INFO Script has finished working []
2024-09-12T17:55:00.728347+00:00 INFO Script has been started []
2024-09-12T17:55:34.671597+00:00 INFO Script has finished working []
2024-09-12T18:00:00.730383+00:00 INFO Script has been started []
2024-09-12T18:00:18.972140+00:00 INFO Script has finished working []
2024-09-12T18:05:00.732364+00:00 INFO Script has been started []
2024-09-12T18:05:20.515638+00:00 INFO Script has finished working []
2024-09-12T18:10:00.734506+00:00 INFO Script has been started []
2024-09-12T18:10:27.089995+00:00 INFO Script has finished working []
2024-09-12T18:15:00.736971+00:00 INFO Script has been started []
2024-09-12T18:15:18.096816+00:00 INFO Script has finished working []
2024-09-12T18:20:00.738447+00:00 INFO Script has been started []
2024-09-12T18:20:23.021978+00:00 INFO Script has finished working []
2024-09-12T18:25:00.740445+00:00 INFO Script has been started []
2024-09-12T18:25:12.707498+00:00 INFO Script has finished working []
2024-09-16T07:55:00.527941+00:00 INFO Script has been started []
